Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],1000,,
Maximum concentration in negative electrode [mol.m-3],31390,,
Negative electrode diffusivity [m2.s-1],[function]graphite_diffusivity_Schmalstieg2018,,
Measured negative electrode OCP [V],[data]graphite_ocp_Schmalstieg2018,,
Negative electrode OCP [V],[function]graphite_ocp_Schmalstieg2018_function,,
,,,
# Microstructure,,,
Negative electrode porosity,0.292,,
Negative electrode active material volume fraction, 0.4925,,
Negative particle radius [m],6.3E-06,,
Negative particle distribution in x,1,,
Negative electrode Bruggeman coefficient (electrolyte),1.52,,
Negative electrode Bruggeman coefficient (electrode),0,,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Negative electrode double-layer capacity [F.m-2],1.47,,
Negative electrode exchange-current density [A.m-2],[function]graphite_electrolyte_exchange_current_density_Schmalstieg2018,,
,,,
# Density,,,
Negative electrode density [kg.m-3],2260,,
,,,
# Thermal parameters,,,
Negative electrode specific heat capacity [J.kg-1.K-1],0,Paper only considers thermal effects of coil and housing,
Negative electrode thermal conductivity [W.m-1.K-1],0,Paper only considers thermal effects of coil and housing,
Negative electrode OCP entropic change [V.K-1],0,,
