Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],10,,
Maximum concentration in positive electrode [mol.m-3],48390,,
Positive electrode diffusivity [m2.s-1],[function]nmc_diffusivity_Schmalstieg2018,,
Measured positive electrode OCP [V],[data]nmc_ocp_Schmalstieg2018,,
Positive electrode OCP [V],[function]nmc_ocp_Schmalstieg2018_function,,
,,,
# Microstructure,,,
Positive electrode porosity,0.209,,
Positive electrode active material volume fraction,0.5724,,
Positive particle radius [m],2.13E-06,,
Positive particle distribution in x,1,,
Positive electrode Bruggeman coefficient (electrolyte),1.44,,
Positive electrode Bruggeman coefficient (electrode),0,,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Reference OCP vs SHE in the positive electrode [V],,,
Positive electrode double-layer capacity [F.m-2],0.198,,
Positive electrode exchange-current density [A.m-2],[function]nmc_electrolyte_exchange_current_density_Schmalstieg2018,,
,,,
# Density,,,
Positive electrode density [kg.m-3],4670,,
,,,
# Thermal parameters,,,
Positive electrode specific heat capacity [J.kg-1.K-1],0,Paper only considers thermal effects of coil and housing,
Positive electrode thermal conductivity [W.m-1.K-1],0,Paper only considers thermal effects of coil and housing,
Positive electrode OCP entropic change [V.K-1],0,,
