Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Macroscale geometry,,,
Negative current collector thickness [m],0.50E-05,,
Negative electrode thickness [m],4.66E-05,,
Separator thickness [m],1.87E-05,,
Positive electrode thickness [m],4.30E-05,,
Positive current collector thickness [m],0.55E-05,,
Electrode height [m],3.75,,
Electrode width [m],0.1185,,
Cell cooling surface area [m2],0.890,prismatic,one of four coils
Cell volume [m3],5.28E-05,prismatic,one of four coils
,,,
# Specific heat capacity,,,
Negative current collector specific heat capacity [J.kg-1.K-1],0,Paper only considers thermal effects of coil and housing,
Positive current collector specific heat capacity [J.kg-1.K-1],0,Paper only considers thermal effects of coil and housing,
,,,
# Thermal conductivity,,,
Negative current collector thermal conductivity [W.m-1.K-1],0,Paper only considers thermal effects of coil and housing,
Positive current collector thermal conductivity [W.m-1.K-1],0,Paper only considers thermal effects of coil and housing,
,,,
# Electrical,,,
Cell capacity [A.h], 7.0,28/4 (parameter set for a single layer coil),
Typical current [A], 7.0,,
Current function [A],7.0,default current function,
