Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Temperature
Reference temperature [K],298.15,25C,
Total heat transfer coefficient [W.m-2.K-1],1.135,1.01/0.890 (housing-ambient heat conductivity / cell cooling surface area),
Ambient temperature [K],298.15,,

,,,
# Electrical
Number of electrodes connected in parallel to make a cell,1,,
Number of cells connected in series to make a battery,1,,
Lower voltage cut-off [V],3.0,,
Upper voltage cut-off [V],4.2,,
,,,
# Initial conditions
Initial concentration in negative electrode [mol.m-3], 27234.87,,
Initial concentration in positive electrode [mol.m-3], 21059.33,,
Initial concentration in electrolyte [mol.m-3],1000,,
Initial temperature [K],298.15,,
